r,rho_target,P_target,cs_target
1.1086585572123244e-09,39053097.103748456,5910197782.606394,14.329861581131425
5.1450368956129704e-05,39011919.358549565,5901743687.030081,14.327241431104644
0.0001028996292537022,38888718.69273866,5876468158.643663,14.3193880581846
0.00015434888955127472,38684456.97654339,5834623521.316215,14.306320690455125
0.00020579814984884715,38400730.2210833,5776626900.806587,14.288071839429943
0.00025724741014641965,38039786.661796615,5703060993.184083,14.264689870407135
0.0003086966704439921,37604412.27816658,5614646735.513088,14.236233547849631
0.00036014593074156463,37097895.01797088,5512231342.184246,14.202771992371542
0.0004115951910391371,36523970.39238783,5396771935.3588705,14.16438376454636
0.0004630444513367096,35886498.74607213,5269265259.122422,14.121137866099355
0.000514493711634282,35190230.50243258,5130894810.27475,14.073148710086075
0.0005659429719318545,34440306.01390284,4982922385.2072,14.02054745160006
0.0006173922322294271,33641966.2610603,4826624078.541293,13.963465979581892
0.0006688414925269995,32800512.896531705,4663276972.546287,13.902037408239078
0.000720290752824572,31921269.61142124,4494146563.438632,13.836396574563878
0.0007717400131221446,31009545.0706519,4320475038.292496,13.766680545874193
0.000823189273419717,30070597.644262787,4143470499.234274,13.693029141269296
0.0008746385337172895,29109602.141393434,3964297214.160355,13.615585470892928
0.0009260877940148619,28131618.732528977,3784066955.640729,13.53449649692325
0.0009775370543124344,27141564.22370706,3603831472.181513,13.449913620254156
0.0010289863146100068,26144132.32933685,3424566567.762934,13.361988504843843
0.0010804355749075795,25143498.461587626,3247119719.9297614,13.270847758919928
0.0011318848352051517,24144101.43872538,3072349481.281003,13.176665147635594
0.001183334095502724,23150120.765106495,2901030394.1205535,13.079619629281563
0.001234783355800297,22165340.9942974,2733831207.9199476,12.979883400014256
0.0012862326160978693,21193159.35456846,2571319381.562315,12.87762203739976
0.0013376818763954417,20236596.235635072,2413966359.7569385,12.772994603657102
0.0013891311366930144,19298308.100006405,2262153442.802345,12.666153709835024
0.0014405803969905866,18380602.407408882,2116178084.359465,12.557245541745186
0.0014920296572881592,17485454.167509653,1976260468.049371,12.446409848087137
0.0015434789175857316,16614523.764070468,1842550230.1098962,12.333779890827786
0.0015949281778833045,15769175.722262044,1715133211.6876175,12.219482357533039
0.0016463774381808764,14950498.119761331,1594038140.317497,12.103637234985177
0.0016978266984784493,14159322.37108162,1479243155.5138476,11.986357643048498
0.0017492759587760217,13396243.143038735,1370682107.9745724,11.867749627360253
0.001800725219073594,12661638.187064663,1268250575.5404603,11.747911909016166
0.0018521744793711663,11955687.901014462,1171811551.6478448,11.626935588980018
0.0019036237396687391,11278479.347806422,1081212009.6357386,11.50491949321571
0.0019550729999663116,10629961.11985402,996278401.7076817,11.381961523316214
0.002006522260263884,10009856.581529837,916807657.8943655,11.2581384437904
0.0020579715205614564,9417782.413730813,842585087.7107869,11.133523465894198
0.0021094207808590292,8853260.969196001,773387412.5091243,11.008186149352163
0.0021608700411566016,8315731.890558883,708985493.9223216,10.882192245830607
0.002212319301454174,7804563.160694623,649146790.6718074,10.755603518835969
0.0022637685617517465,7319061.555827118,593637550.7175769,10.628477537866969
0.002315217822049319,6858482.4801484775,542224748.092099,10.50086744431678
0.0023666670823468913,6422039.1683503995,494677775.6880692,10.372821686247615
0.0024181163426444637,6008911.249468756,450769906.7938955,10.244383718737046
0.002469565602942037,5618252.671803131,410279539.32230175,10.115591666015067
0.00252101486323961,5249198.994401706,372991237.4900092,9.98647794106233
0.002572464123537182,4900874.055710884,338696586.2139357,9.857068817709546
0.002623913383834754,4572396.034497934,307194873.72583073,9.727383949549449
0.002675362644132327,4262882.922084366,278293617.9059415,9.597435829123267
0.0027268119044298995,3971457.428303819,251808951.62963638,9.467229179846326
0.0027782611647274714,3697251.346448854,227565882.03983083,9.336760271955825
0.0028297104250250443,3439409.404826901,205398438.13187128,9.206016152351413
0.0028811596853226167,3197092.634439525,185149720.3935927,9.074973776495439
0.002932608945620189,2969481.2837652783,166671865.5068382,8.943599028465872
0.0029840582059177615,2755846.198774087,149831287.2462525,8.811889524536387
0.003035507466215334,2555499.7281736806,134503853.75218683,8.679853697861448
0.0030869567265129063,2367700.9442553334,120567432.10931952,8.547445719153895
0.003138405986810479,2191745.5630291537,107908803.70060289,8.414616316655101
0.003189855247108051,2026964.7113401887,96423099.86713979,8.281312681135711
0.003241304507405624,1872723.4352845442,86013246.98822618,8.147478153324963
0.003292753767703197,1728419.2568796247,76589443.9498411,8.013051871857309
0.003344203028000769,1593480.7783749183,68068670.42540234,7.877968375346201
0.003395652288298341,1467366.3335757572,60374224.44778657,7.742157150962029
0.0034471015485959136,1349562.685543248,53435287.80611411,7.605542120378615
0.0034985508088934865,1239583.7700299493,47186517.85453659,7.4680410520856615
0.0035500000691910593,1136969.4840135265,41567664.37315722,7.329564886745668
0.0036014493294886313,1041284.5187008991,36523210.17319383,7.190016959374564
0.003652898589786204,952117.2363946324,32002034.189478915,7.0492920984743765
0.003704347850083776,869078.5906435242,27957095.85331624,6.907275577614238
0.003755797110381349,791801.0891430817,24345139.58750627,6.763841889031581
0.003807246370678921,719937.7989122376,21126418.312934298,6.618853301182207
0.0038586956309764934,653161.3933549508,18264434.90241716,6.472158152216509
0.003910144891274067,591163.2409254544,15725700.562431145,6.323588818272912
0.0039615941515716395,533652.5352627062,13479509.166808205,6.172959278087432
0.0040130434118692115,480355.4668550139,11497726.60836428,6.0200621720354865
0.0040644926721667834,431014.43655715464,9754594.274574859,5.864665221891932
0.004115941932464356,385387.3116340039,8226545.791649322,5.706506833676072
0.004167391192761928,343246.7254825472,6892036.217426257,5.545290644447611
0.004218840453059501,304379.42284099467,5731382.89707438,5.380678686396411
0.004270289713357074,268585.6532092854,4726617.226145732,5.212282714776278
0.004321738973654646,235678.61650221847,3861346.5923796366,5.0396530588999395
0.004373188233952218,205483.96682778205,3120625.78973249,4.8622640724992925
0.004424637494249791,177839.38304066053,2490837.213785385,4.679494821874954
0.004476086754547364,152594.21888205697,1959579.1544061112,4.490602953484037
0.004527536014844936,129609.25196992108,1515561.495183742,4.294688538339531
0.004578985275142508,108756.56122913996,1148508.1028130832,4.090642742026484
0.00463043453544008,89919.57948528495,849065.131315601,3.8770727080877236
0.004681883795737653,72993.35915022863,608713.8409338272,3.65218702591402
0.004733333056035225,57885.810464105496,419694.6210704667,3.4136240323171503
0.004784782316332798,44519.17979955683,274924.1384021646,3.1581624867074116
0.004836231576630371,32831.36383051256,167900.73557791454,2.881176251416228
0.004887680836927943,22780.10816823234,92622.56133063526,2.575579027543017
0.004939130097225517,14351.508450529283,43496.61481085346,2.2294613144541766
0.004990579357523089,7579.284810216401,15221.553025757612,1.819631323896483
